0  tensor(96.0500, device='cuda:0')
0  tensor(96.4900, device='cuda:0')
518  468  tensor(80.4817, device='cuda:0')
0  tensor(96.0100, device='cuda:0')
0  tensor(96.4400, device='cuda:0')
519  468  tensor(79.8767, device='cuda:0')
0  tensor(96.3500, device='cuda:0')
0  tensor(96.4200, device='cuda:0')
520  468  tensor(77.3617, device='cuda:0')
0  tensor(96.1500, device='cuda:0')
0  tensor(96.3600, device='cuda:0')
521  468  tensor(79.4567, device='cuda:0')
0  tensor(96.1100, device='cuda:0')
0  tensor(96.3600, device='cuda:0')
522  468  tensor(78.8483, device='cuda:0')
0  tensor(96.2400, device='cuda:0')
0  tensor(96.3800, device='cuda:0')
523  468  tensor(76.0333, device='cuda:0')
0  tensor(96.2200, device='cuda:0')
0  tensor(96.4700, device='cuda:0')
524  468  tensor(81.7450, device='cuda:0')
0  tensor(96.0100, device='cuda:0')
0  tensor(96.3300, device='cuda:0')
525  468  tensor(79.2750, device='cuda:0')
0  tensor(96.0800, device='cuda:0')
0  tensor(96.4100, device='cuda:0')
526  468  tensor(79.4100, device='cuda:0')
0  tensor(96.0900, device='cuda:0')
0  tensor(96.4200, device='cuda:0')
527  468  tensor(81.7450, device='cuda:0')
0  tensor(96.1500, device='cuda:0')
0  tensor(96.3800, device='cuda:0')
528  468  tensor(81.3517, device='cuda:0')
0  tensor(96.1400, device='cuda:0')
0  tensor(96.4200, device='cuda:0')
529  468  tensor(82.0750, device='cuda:0')
0  tensor(96., device='cuda:0')
0  tensor(96.3700, device='cuda:0')
530  468  tensor(78.6467, device='cuda:0')
0  tensor(95.9500, device='cuda:0')
0  tensor(96.3400, device='cuda:0')
531  468  tensor(79.4267, device='cuda:0')
0  tensor(96.1400, device='cuda:0')
0  tensor(96.4100, device='cuda:0')
532  468  tensor(78.3933, device='cuda:0')
0  tensor(95.9300, device='cuda:0')
0  tensor(96.5200, device='cuda:0')
533  468  tensor(79.1117, device='cuda:0')
0  tensor(95.8800, device='cuda:0')
0  tensor(96.4800, device='cuda:0')
534  468  tensor(78.9583, device='cuda:0')
0  tensor(95.8600, device='cuda:0')
0  tensor(96.4900, device='cuda:0')
535  468  tensor(77.9417, device='cuda:0')
0  tensor(96.1200, device='cuda:0')
0  tensor(96.4600, device='cuda:0')
536  468  tensor(78.7717, device='cuda:0')
0  tensor(96.0200, device='cuda:0')
0  tensor(96.4200, device='cuda:0')
537  468  tensor(78.8167, device='cuda:0')
0  tensor(96.1300, device='cuda:0')
0  tensor(96.3700, device='cuda:0')
538  468  tensor(78.7683, device='cuda:0')
0  tensor(96.0400, device='cuda:0')
0  tensor(96.5000, device='cuda:0')
539  468  tensor(77.7467, device='cuda:0')
0  tensor(96.3000, device='cuda:0')
0  tensor(96.5600, device='cuda:0')
540  468  tensor(78.0317, device='cuda:0')
0  tensor(96.1200, device='cuda:0')
0  tensor(96.5100, device='cuda:0')
541  468  tensor(78.8967, device='cuda:0')
0  tensor(96.0700, device='cuda:0')
0  tensor(96.4200, device='cuda:0')
542  468  tensor(81.2833, device='cuda:0')
0  tensor(96.0500, device='cuda:0')
0  tensor(96.4200, device='cuda:0')
