384  234  lr 0.0687303296707956  tensor(79.6833, device='cuda:0')
385  234  lr 0.06858312278301637  tensor(81.1367, device='cuda:0')
386  234  lr 0.06843572876339704  tensor(79.0383, device='cuda:0')
387  234  lr 0.06828814909619373  tensor(80.4400, device='cuda:0')
388  234  lr 0.06814038526753205  tensor(78.4767, device='cuda:0')
389  234  lr 0.06799243876539213  tensor(79.4250, device='cuda:0')
390  234  lr 0.06784431107959359  tensor(78.4367, device='cuda:0')
391  234  lr 0.0676960037017806  tensor(75.6367, device='cuda:0')
392  234  lr 0.0675475181254068  tensor(79.4583, device='cuda:0')
393  234  lr 0.06739885584572025  tensor(76.7967, device='cuda:0')
394  234  lr 0.06725001835974853  tensor(78.9433, device='cuda:0')
395  234  lr 0.06710100716628345  tensor(80.3050, device='cuda:0')
396  234  lr 0.06695182376586603  tensor(81.0283, device='cuda:0')
397  234  lr 0.06680246966077151  tensor(76.2333, device='cuda:0')
398  234  lr 0.06665294635499404  tensor(78.9150, device='cuda:0')
399  234  lr 0.06650325535423167  tensor(82.3633, device='cuda:0')
400  234  lr 0.06635339816587109  tensor(78.8650, device='cuda:0')
401  234  lr 0.06620337629897254  tensor(78.5850, device='cuda:0')
402  234  lr 0.06605319126425455  tensor(78.6400, device='cuda:0')
403  234  lr 0.06590284457407876  tensor(78.8650, device='cuda:0')
404  234  lr 0.06575233774243465  tensor(81.0200, device='cuda:0')
405  234  lr 0.06560167228492435  tensor(80.5983, device='cuda:0')
406  234  lr 0.06545084971874737  tensor(79.9233, device='cuda:0')
407  234  lr 0.06529987156268527  tensor(79.6983, device='cuda:0')
408  234  lr 0.06514873933708637  tensor(77.0600, device='cuda:0')
409  234  lr 0.06499745456385053  tensor(78.5883, device='cuda:0')
410  234  lr 0.06484601876641376  tensor(77.6350, device='cuda:0')
411  234  lr 0.0646944334697328  tensor(80.8500, device='cuda:0')
